"","db.Estado","db.SalePrice","db.GrLivArea","db.GarageCars","db.YearBuilt","db.GarageArea","db.X1stFlrSF"
"293","Intermedia",131000,1716,1,1949,281,1148
"294","Cara",235000,2263,2,1977,539,1468
"295","Cara",167000,1644,2,1953,418,1644
"296","Intermedia",142500,1003,2,1984,588,1003
"297","Intermedia",152000,1558,1,1950,282,910
"298","Cara",239000,1950,2,1997,576,975
"299","Cara",175000,1743,2,1968,539,1041
"300","Intermedia",158500,1152,1,1950,300,1152
"301","Intermedia",157000,1336,1,1953,375,1336
"302","Cara",267000,2452,2,1998,683,1210
"303","Cara",205000,1541,3,2001,843,1541
"304","Intermedia",149900,894,2,1972,552,894
"305","Cara",295000,3493,3,1880,870,1675
"306","Cara",305900,2000,3,2004,888,2000
"307","Cara",225000,2243,3,1990,746,1122
"308","Economica",89500,1406,0,1920,0,1035
"309","Economica",82500,861,2,1940,539,861
"310","Cara",360000,1944,3,2003,708,1944
"311","Cara",165600,1501,2,1993,420,697
"312","Intermedia",132000,972,1,1948,240,972
"313","Economica",119900,1118,2,1939,410,793
"314","Cara",375000,2036,2,1965,513,2036
"315","Cara",178000,1641,2,1925,546,832
"316","Cara",188500,1432,2,2004,432,716
"317","Cara",260000,2353,2,1980,484,1153
"318","Cara",270000,1959,3,2006,1025,1088
"319","Cara",260000,2646,3,1993,656,1372
"320","Cara",187500,1472,2,1980,588,1472
"321","Cara",342643,2596,3,2006,840,1249
"322","Cara",354000,2468,3,2004,872,1136
"323","Cara",301000,2730,2,1986,576,1553
"324","Economica",126175,1163,1,1955,220,1163
"325","Cara",242000,2978,2,1967,564,1898
"326","Economica",87000,803,2,1941,360,803
"327","Cara",324000,1719,2,1993,473,1719
"328","Intermedia",145250,1383,1,1960,292,1383
"329","Cara",214500,2134,2,1916,441,1445
"330","Economica",78000,1192,1,1920,189,596
"331","Economica",119000,1728,1,1964,352,1728
"332","Intermedia",139000,1056,1,1958,308,1056
"333","Cara",284000,1629,3,2003,880,1629
"334","Cara",207000,1358,2,2004,484,1358
"335","Cara",192000,1638,2,1998,472,943
"336","Cara",228950,1786,2,1965,529,1619
"337","Cara",377426,1922,3,2005,676,1922
"338","Cara",214000,1536,2,2002,532,1536
"339","Cara",202500,1621,2,1984,440,1621
"340","Intermedia",155000,1215,1,1958,297,1215
"341","Cara",202900,1908,2,2002,431,993
"342","Economica",82000,841,1,1950,294,841
"343","Economica",87500,1040,2,1949,400,1040
"344","Cara",266000,1684,2,2005,564,1684
"345","Economica",85000,1112,1,1976,336,536
"346","Intermedia",140200,1577,1,1939,312,972
"347","Intermedia",151500,958,1,1960,301,958
"348","Intermedia",157500,1478,2,1960,498,1478
"349","Intermedia",154000,1626,2,2003,474,764
"350","Cara",437154,2728,3,2005,706,1848
"351","Cara",318061,1869,2,2007,617,1869
"352","Cara",190000,1453,2,1986,445,1453
"353","Economica",95000,1111,1,1941,200,616
"354","Economica",105900,720,2,1928,484,720
"355","Intermedia",140000,1595,1,1940,240,1192
"356","Cara",177500,1200,2,1995,521,1200
"357","Cara",173000,1167,2,1992,400,1167
"358","Intermedia",134000,1142,2,1976,528,1142
"359","Intermedia",130000,1352,1,1958,288,1352
"360","Cara",280000,1924,2,1998,592,1086
"361","Intermedia",156000,912,2,1978,470,912
"362","Intermedia",145000,1505,1,1940,240,988
"363","Cara",198500,1922,2,2003,672,495
"364","Economica",118000,987,1,1972,264,483
"365","Cara",190000,1574,2,1976,566,790
"366","Intermedia",147000,1344,1,1920,468,672
"367","Intermedia",159000,1394,2,1963,514,1394
"368","Cara",165000,1431,1,1962,296,1431
"369","Intermedia",132000,1268,1,1954,244,1268
"370","Intermedia",162000,1287,2,1959,576,1287
"371","Cara",172400,1664,2,2000,460,953
"372","Intermedia",134432,1588,2,1959,680,1120
"373","Economica",125000,752,1,1984,264,752
"374","Economica",123000,1319,1,1953,270,1319
"375","Cara",219500,1928,2,2003,434,847
"376","Economica",61000,904,0,1922,0,904
"377","Intermedia",148000,914,2,1996,576,914
"378","Cara",340000,2466,2,2004,610,1580
"379","Cara",394432,1856,3,2010,834,1856
"380","Cara",179000,1800,2,2000,463,1007
"381","Economica",127000,1691,1,1924,308,1026
"382","Cara",187750,1301,2,2006,572,1301
"383","Cara",213500,1797,2,2006,639,939
"384","Economica",76000,784,2,1928,360,784
"385","Cara",240000,1953,2,1992,501,1079
"386","Cara",192000,1269,2,2004,430,1269
"387","Economica",81000,1184,0,1910,0,658
"388","Economica",125000,1125,1,1976,352,1125
"389","Cara",191000,1479,2,1999,577,1479
"390","Cara",426000,2332,3,2007,846,1742
"391","Economica",119000,1367,1,1900,384,961
"392","Cara",215000,1961,2,2001,560,804
"393","Economica",106500,882,1,1959,294,882
"394","Economica",1e+05,788,0,1941,0,788
"395","Economica",109000,1034,1,1940,240,735
"396","Economica",129000,1144,1,1956,596,1144
"397","Economica",123000,894,2,1972,600,894
"398","Cara",169500,1812,1,1962,264,876
"399","Economica",67000,1077,1,1920,338,1077
"400","Cara",241000,1550,2,2006,438,1112
"401","Cara",245500,1288,2,1996,500,1288
"402","Cara",164990,1310,2,2005,400,1310
"403","Economica",108000,672,1,1940,240,672
"404","Cara",258000,2263,2,1998,420,1165
"405","Cara",168000,1572,2,1995,373,806
"406","Intermedia",150000,1620,2,1976,490,1620
"407","Economica",115000,1639,1,1936,240,1166
"408","Cara",177000,1680,1,1915,308,840
"409","Cara",280000,2172,3,2006,947,1071
"410","Cara",339750,2078,3,2007,836,1050
"411","Economica",60000,1276,1,1958,350,1276
"412","Intermedia",145000,1056,2,1955,572,1056
"413","Cara",222000,1478,2,2009,484,1478
"414","Economica",115000,1028,2,1927,360,1028
"415","Cara",228000,2097,3,1993,678,1080
"416","Cara",181134,1340,2,2007,396,1340
"417","Intermedia",149500,1400,2,1978,440,672
"418","Cara",239000,2624,3,1918,864,1370
"419","Economica",126000,1134,1,1940,240,756
"420","Intermedia",142000,1056,1,1968,304,1056
"421","Cara",206300,1344,4,1997,784,1344
"422","Cara",215000,1602,2,1977,529,1602
"423","Economica",113000,988,2,1954,520,988
"424","Cara",315000,2630,3,1998,696,1470
"425","Intermedia",139000,1196,1,1956,297,1196
"426","Intermedia",135000,1389,1,1946,240,707
"427","Cara",275000,1644,2,1989,569,1644
"428","Economica",109008,907,1,1957,352,907
"429","Cara",195400,1208,2,2007,628,1208
"430","Cara",175000,1412,2,1988,576,1412
"431","Economica",85400,987,1,1971,264,483
"432","Economica",79900,1198,0,1920,0,1088
"433","Economica",122500,1365,2,1971,440,765
"434","Cara",181000,1604,2,1997,470,926
"435","Economica",81000,630,0,1972,0,630
"436","Cara",212000,1661,2,1996,550,827
"437","Economica",116000,1118,2,1920,440,734
"438","Economica",119000,904,1,1926,180,904
"439","Economica",90350,694,1,1913,352,694
"440","Economica",110000,1196,2,1920,528,684
"441","Cara",555000,2402,3,2008,672,2402
"442","Economica",118000,1440,0,1955,0,1440
"443","Intermedia",162900,1573,2,1930,360,1128
"444","Cara",172500,1258,3,2006,648,1258
"445","Cara",210000,1908,2,1994,493,933
"446","Economica",127500,1689,2,1956,480,1689
"447","Cara",190000,1888,2,1966,578,1888
"448","Cara",199900,1886,2,1998,431,956
"449","Economica",119500,1376,1,1937,198,780
"450","Economica",120000,1183,1,1948,308,679
"451","Economica",110000,813,1,1930,270,813
"452","Cara",280000,1533,2,1975,576,1533
"453","Cara",204000,1756,2,1996,422,888
"454","Cara",210000,1590,2,2008,676,786
"455","Cara",188000,1728,2,1976,560,1728
"456","Cara",175500,1242,2,1973,528,1242
"457","Economica",98000,1344,3,1916,513,624
"458","Cara",256000,1663,2,1954,529,1663
"459","Intermedia",161000,1666,1,1925,228,833
"460","Economica",110000,1203,1,1950,352,979
"461","Cara",263435,1935,2,2009,552,832
"462","Intermedia",155000,1135,2,1936,576,575
"463","Economica",62383,864,1,1965,360,864
"464","Cara",188700,1660,1,1934,240,849
"465","Economica",124000,1040,0,1978,0,1040
"466","Cara",178740,1414,2,2004,398,1414
"467","Cara",167000,1277,2,1970,526,1277
"468","Intermedia",146500,1644,1,1942,312,888
"469","Cara",250000,1634,3,2006,866,1634
"470","Cara",187000,1710,2,1993,506,832
"471","Cara",212000,1502,2,1985,528,1502
"472","Cara",190000,1969,2,1977,534,1161
"473","Intermedia",148000,1072,2,2005,525,1072
"474","Cara",440000,1976,3,2006,908,1976
"475","Cara",251000,1652,2,2000,499,1652
"476","Intermedia",132500,970,2,1963,624,970
"477","Cara",208900,1493,2,1997,508,1493
"478","Cara",380000,2643,3,2006,694,2069
"479","Cara",297000,1718,3,2007,826,1718
"480","Economica",89471,1131,2,1937,672,1131
"481","Cara",326000,1850,3,2004,772,1850
"482","Cara",374000,1792,3,2003,874,1792
"483","Intermedia",155000,1826,1,1915,164,916
"484","Cara",164000,1216,2,1998,402,1216
"485","Intermedia",132500,999,1,1962,264,999
"486","Intermedia",147000,1113,1,1950,264,1113
"487","Intermedia",156000,1073,2,1965,515,1073
"488","Cara",175000,1484,2,1971,487,1484
"489","Intermedia",160000,2414,2,1900,520,1766
"490","Economica",86000,630,1,1970,286,630
"491","Economica",115000,1304,1,1976,336,616
"492","Intermedia",133000,1578,1,1941,240,958
"493","Cara",172785,1456,2,2006,429,728
"494","Intermedia",155000,1269,1,1960,308,1269
"495","Economica",91300,886,1,1938,273,886
"496","Economica",34900,720,0,1920,0,720
"497","Cara",430000,3228,2,1992,546,3228
"498","Cara",184000,1820,1,1925,240,1133
"499","Intermedia",130000,899,1,1967,288,899
"500","Economica",120000,912,1,1958,297,912
"501","Economica",113000,1218,1,1973,264,672
"502","Cara",226700,1768,2,2005,603,866
"503","Intermedia",140000,1214,2,1965,461,1214
"504","Cara",289000,1801,2,1959,484,1801
"505","Intermedia",147000,1322,2,1974,440,855
"506","Economica",124500,1960,2,1952,400,960
"507","Cara",215000,1911,2,1993,471,1065
"508","Cara",208300,1218,2,2009,676,1218
"509","Intermedia",161000,1378,2,1928,360,689
"510","Economica",124500,1041,1,1959,270,1041
"511","Cara",164900,1363,1,1951,288,1363
"512","Cara",202665,1368,2,2005,474,1368
"513","Economica",129900,864,2,1958,624,864
"514","Intermedia",134000,1080,2,1983,484,1080
"515","Economica",96500,789,1,1926,200,789
"516","Cara",402861,2020,3,2009,900,2020
"517","Intermedia",158000,2119,2,1972,583,1378
"518","Cara",265000,2344,3,1996,889,1277
"519","Cara",211000,1796,2,1998,546,882
"520","Cara",234000,2080,1,1926,282,1276
"521","Economica",106250,1294,0,1900,0,694
"522","Intermedia",150000,1244,1,1957,336,1244
"523","Intermedia",159000,1664,2,1947,420,1004
"524","Cara",184750,4676,3,2007,884,3138
"525","Cara",315750,2398,3,1996,834,1383
"526","Cara",176000,1266,2,2005,453,1266
"527","Intermedia",132000,928,1,1956,252,928
"528","Cara",446261,2713,3,2008,858,1476
"529","Economica",86000,605,0,1920,0,605
"530","Cara",200624,2515,2,1957,484,2515
"531","Cara",175000,1509,2,1988,600,1509
"532","Economica",128000,1362,2,1920,502,751
"533","Economica",107500,827,1,1955,392,827
"534","Economica",39300,334,0,1946,0,334
"535","Cara",178000,1414,2,2004,403,707
"536","Economica",107500,1347,0,1910,0,820
"537","Cara",188000,1724,2,1998,527,880
"538","Economica",111250,864,2,1972,576,864
"539","Intermedia",158000,1159,1,1968,336,1159
"540","Cara",272000,1601,2,2001,670,1601
"541","Cara",315000,1838,3,2006,765,1838
"542","Cara",248000,2285,3,2000,648,997
"543","Cara",213250,1680,2,1998,583,1680
"544","Intermedia",133000,767,1,1998,367,767
"545","Cara",179665,1496,2,2006,426,664
"546","Cara",229000,2183,3,1988,786,1377
"547","Cara",210000,1635,2,1923,440,915
"548","Economica",129500,768,2,1970,624,768
"549","Economica",125000,825,2,1955,720,825
"550","Cara",263000,2094,2,2003,615,912
"551","Intermedia",140000,1069,2,1977,440,1069
"552","Economica",112500,928,1,1957,288,928
"553","Cara",255500,1717,3,2006,908,1717
"554","Economica",108000,1126,2,1949,520,1126
"555","Cara",284000,2046,3,2003,871,1006
"556","Economica",113000,1048,1,1922,280,1048
"557","Intermedia",141000,1092,1,1957,299,1092
"558","Economica",108000,1336,1,1920,570,897
"559","Cara",175000,1446,2,1996,406,729
"560","Cara",234000,1557,2,2003,420,1557
"561","Economica",121500,1392,2,1957,528,1392
"562","Cara",170000,1389,2,1974,418,1389
"563","Economica",108000,996,0,1940,0,996
"564","Cara",185000,1674,2,1918,396,1163
"565","Cara",268000,2295,2,1992,590,1166
"566","Economica",128000,1647,1,1915,216,841
"567","Cara",325000,2504,3,2005,656,1134
"568","Cara",214000,1535,2,2004,532,1535
"569","Cara",316600,2132,2,1983,612,1496
"570","Intermedia",135960,943,2,1979,600,943
"571","Intermedia",142600,1728,2,1965,576,1728
"572","Economica",120000,864,1,1959,288,864
"573","Cara",224500,1692,2,2009,650,846
"574","Cara",170000,1430,2,2000,400,774
"575","Intermedia",139000,1109,1,1971,288,576
"576","Economica",118500,1216,1,1947,336,832
"577","Intermedia",145000,1477,1,1928,216,877
"578","Cara",164500,1320,2,1966,564,1320
"579","Intermedia",146000,1392,2,2007,540,703
"580","Intermedia",131500,1795,1,1954,352,1050
"581","Cara",181900,1429,2,1960,572,1429
"582","Cara",253293,2042,3,2008,1390,2042
"583","Economica",118500,816,0,1990,0,816
"584","Cara",325000,2775,2,1893,880,1521
"585","Intermedia",133000,1573,1,1935,240,989
"586","Cara",369900,2028,3,2005,880,2028
"587","Intermedia",130000,838,1,1918,275,838
"588","Intermedia",137000,860,2,1982,528,860
"589","Intermedia",143000,1473,1,1968,452,1473
"590","Economica",79500,935,1,1930,308,779
"591","Cara",185900,1582,2,2004,520,770
"592","Cara",451950,2296,3,2008,842,1728
"593","Intermedia",138000,816,2,1982,816,816
"594","Intermedia",140000,848,2,2003,420,848
"595","Economica",110000,924,1,1975,280,924
"596","Cara",319000,1826,3,2005,758,1826
"597","Economica",114504,1368,1,1910,216,684
"598","Cara",194201,1402,3,2006,648,1402
"599","Cara",217500,1647,2,1977,621,1647
"600","Intermedia",151000,1556,2,1980,452,716
"601","Cara",275000,1904,2,2005,736,1058
"602","Intermedia",141000,1375,1,1937,544,780
"603","Cara",220000,1915,2,1992,506,927
"604","Intermedia",151000,1200,2,2004,480,600
"605","Cara",221000,1494,2,2002,530,1494
